LOCATION,Year,Imports
EST,2010,68.6289097533315
EST,2011,80.7881910691098
EST,2012,84.5521308881179
EST,2013,81.884663123757
EST,2014,78.3760403538947
EST,2015,73.5016918442179
EST,2016,73.4011606025697
EST,2017,71.753865414555
EST,2018,71.59639818265
EST,2019,69.8698449547386
EST,2020,69.1924748177065
EST,2021,78.6613991097561
EST,2022,86.0656571322315
IND,2010,27.0984467527734
IND,2011,31.0834686939478
IND,2012,31.2592910673237
IND,2013,28.4132706460722
IND,2014,25.9542227390195
IND,2015,22.1097247090329
IND,2016,20.9242508027056
IND,2017,21.9507321152347
IND,2018,23.6574164799226
IND,2019,20.9573845344625
IDN,2010,22.4022429392286
IDN,2011,23.8526600952332
IDN,2012,24.9885195110858
IDN,2013,24.7137962959246
IDN,2014,24.4141909885889
IDN,2015,20.777460981727
IDN,2016,18.332347948667
IDN,2017,19.1781926353478
IDN,2018,22.0715624579513
IDN,2019,19.0362497386225
IDN,2020,15.6410071153524
IDN,2021,18.789628143625
IDN,2022,20.9008560313127
ISR,2010,32.2817362723557
ISR,2011,34.8970878245968
ISR,2012,35.4222111806005
ISR,2013,31.4074375501488
ISR,2014,30.2902165348727
ISR,2015,28.0410528743246
ISR,2016,28.0890078140955
ISR,2017,27.3181109611218
ISR,2018,29.0210400418653
ISR,2019,27.0479400105763
ISR,2020,23.2076849447352
ISR,2021,25.5039248277137
ISR,2022,28.6240977135342
RUS,2010,19.4331283030691
RUS,2011,19.9799659649337
RUS,2012,20.244013748167
RUS,2013,20.4418407648892
RUS,2014,20.6902786324159
RUS,2015,20.655954864066
RUS,2016,20.6636165948997
RUS,2017,20.7856585134573
RUS,2018,20.7876658721825
RUS,2019,20.9079844102229
RUS,2020,20.5599182436972
SVN,2010,63.2166574217778
SVN,2011,69.0307597086091
SVN,2012,69.492842906118
SVN,2013,69.5398803988415
SVN,2014,69.3980069475895
SVN,2015,69.1471778902094
SVN,2016,69.0596088021838
SVN,2017,74.1489321833794
SVN,2018,76.3497282668096
SVN,2019,75.0998115507027
SVN,2020,68.4947459781915
SVN,2021,77.290300923461
SVN,2022,88.7519209780326
ZAF,2010,24.6226843333317
ZAF,2011,26.9382189553713
ZAF,2012,28.4434793580404
ZAF,2013,30.4957609193993
ZAF,2014,30.4989511284996
ZAF,2015,29.0130347852652
ZAF,2016,27.7051810051797
ZAF,2017,26.1958478978337
ZAF,2018,27.0650713722543
ZAF,2019,26.7572951079327
ZAF,2020,23.2006787401921
ZAF,2021,25.0241653857055
ZAF,2022,31.4649784429297
EA,2010,37.6102795041598
EA,2011,40.3898358856246
EA,2012,40.754256652515
EA,2013,40.3500595833165
EA,2014,40.6482823689796
EA,2015,41.5482341376374
EA,2016,41.1229561863206
EA,2017,42.8617079924535
EA,2018,44.0498856857537
EA,2019,44.7580635230205
EA,2020,41.7006001120158
EA,2021,45.4209682652086
EA,2022,53.1195244987369
EU,2010,38.7376865245181
EU,2011,41.5122566575154
EU,2012,41.9115290240643
EU,2013,41.4619484280772
EU,2014,41.9084069603153
EU,2015,42.6966509429146
EU,2016,42.2915044089993
EU,2017,44.0496666720721
EU,2018,45.3101075990078
EU,2019,45.8700863352616
EU,2020,42.7746529519457
EU,2021,46.6873991419655
EU,2022,54.3606973894624
BRA,2010,11.9065933373084
BRA,2011,12.3518924993294
BRA,2012,13.2367345412855
BRA,2013,14.0437266803948
BRA,2014,13.6734629958056
BRA,2015,14.0534345199388
BRA,2016,12.067003034456
BRA,2017,11.8007665046081
BRA,2018,14.2412038821035
BRA,2019,14.7673386762259
BRA,2020,15.8485265382648
LVA,2010,55.3464013118104
LVA,2011,65.7105552362294
LVA,2012,66.7846886045742
