LOCATION,SUBJECT,Year,Housing
GRC,NOMINAL,2014-Q4,103.581474493908
GRC,NOMINAL,2015-Q1,102.785712486484
GRC,NOMINAL,2015-Q2,100.304640893309
GRC,NOMINAL,2015-Q3,98.6297794880668
GRC,NOMINAL,2015-Q4,98.2798671321398
GRC,NOMINAL,2016-Q1,98.3278970447533
GRC,NOMINAL,2016-Q2,97.6858956874734
GRC,NOMINAL,2016-Q3,97.1732252090249
GRC,NOMINAL,2016-Q4,97.3049820587491
GRC,NOMINAL,2017-Q1,96.50167987536
GRC,NOMINAL,2017-Q2,96.5746684874106
GRC,NOMINAL,2017-Q3,96.4826048140142
GRC,NOMINAL,2017-Q4,96.9780468232159
GRC,NOMINAL,2018-Q1,96.9912737748638
GRC,NOMINAL,2018-Q2,97.7351273714392
GRC,NOMINAL,2018-Q3,98.5864996485883
GRC,NOMINAL,2018-Q4,100.203099205109
GRC,NOMINAL,2019-Q1,102.377224940471
GRC,NOMINAL,2019-Q2,105.128102107403
GRC,NOMINAL,2019-Q3,106.568756465613
GRC,NOMINAL,2019-Q4,107.851916486513
GRC,NOMINAL,2020-Q1,109.29462667652
GRC,NOMINAL,2020-Q2,109.638741134794
GRC,NOMINAL,2020-Q3,110.536501408496
GRC,NOMINAL,2020-Q4,111.42313078019
GRC,NOMINAL,2021-Q1,114.257260778402
GRC,NOMINAL,2021-Q2,117.225612543739
GRC,NOMINAL,2021-Q3,120.150653935871
GRC,NOMINAL,2021-Q4,122.789472741988
GRC,NOMINAL,2022-Q1,125.513948292483
GRC,NOMINAL,2022-Q2,129.429681107753
GRC,NOMINAL,2022-Q3,134.146668206805
GRC,NOMINAL,2022-Q4,137.768702400826
HUN,NOMINAL,2010-Q2,94.1494868659642
HUN,NOMINAL,2010-Q3,93.5207236773431
HUN,NOMINAL,2010-Q4,92.7591152541541
HUN,NOMINAL,2011-Q1,91.2831650496655
HUN,NOMINAL,2011-Q2,90.8485975868465
HUN,NOMINAL,2011-Q3,89.5797082525991
HUN,NOMINAL,2011-Q4,90.078529110889
HUN,NOMINAL,2012-Q1,89.8540629206023
HUN,NOMINAL,2012-Q2,86.9379493841655
HUN,NOMINAL,2012-Q3,86.2027394730182
HUN,NOMINAL,2012-Q4,85.395248222214
HUN,NOMINAL,2013-Q1,84.6699903595277
HUN,NOMINAL,2013-Q2,84.9234824682453
HUN,NOMINAL,2013-Q3,85.0075999235862
HUN,NOMINAL,2013-Q4,84.8789272486408
HUN,NOMINAL,2014-Q1,85.4902655940221
HUN,NOMINAL,2014-Q2,87.2677260218023
HUN,NOMINAL,2014-Q3,88.8288558120688
HUN,NOMINAL,2014-Q4,92.1231525721067
HUN,NOMINAL,2015-Q1,93.2413594116955
HUN,NOMINAL,2015-Q2,98.3235390186514
HUN,NOMINAL,2015-Q3,102.59516349977
HUN,NOMINAL,2015-Q4,105.839938069883
HUN,NOMINAL,2016-Q1,108.825129960059
HUN,NOMINAL,2016-Q2,111.474159197203
HUN,NOMINAL,2016-Q3,114.709847829141
HUN,NOMINAL,2016-Q4,118.500863013597
HUN,NOMINAL,2017-Q1,121.315147080159
HUN,NOMINAL,2017-Q2,124.834324393212
HUN,NOMINAL,2017-Q3,128.781952615665
HUN,NOMINAL,2017-Q4,134.028575910964
HUN,NOMINAL,2018-Q1,137.212086095265
HUN,NOMINAL,2018-Q2,141.589518610821
HUN,NOMINAL,2018-Q3,148.046753819614
HUN,NOMINAL,2018-Q4,155.1316414743
HUN,NOMINAL,2019-Q1,162.963879310678
HUN,NOMINAL,2019-Q2,169.178556421638
HUN,NOMINAL,2019-Q3,172.852040479532
HUN,NOMINAL,2019-Q4,175.675523788152
HUN,NOMINAL,2020-Q1,176.25670854469
HUN,NOMINAL,2020-Q2,173.241153217965
HUN,NOMINAL,2020-Q3,181.330277342125
HUN,NOMINAL,2020-Q4,183.48186089522
HUN,NOMINAL,2021-Q1,192.919958365835
HUN,NOMINAL,2021-Q2,202.052258057315
HUN,NOMINAL,2021-Q3,211.503194511468
HUN,NOMINAL,2021-Q4,225.674589065382
HUN,NOMINAL,2022-Q1,237.584832816033
